selected_at,player_name,matchup,market_type,side,line,sportsbook,offered_american_odds,ev_pct,model_score,confidence_score,pinnacle_approved,pinnacle_found,pick_status,outcome,risk_units,profit_units,event_start_time
2026-08-25 23:44:33.595152+00,Corbin Carroll,Chicago Cubs @ Arizona Diamondbacks,batting_homeRuns_ou,OVER,0.5,betrivers,500,10.0,8.1,70.83,,0,ACTIVE,loss,0.64,-0.64,2026-08-26T01:40:00Z
2026-08-25 23:44:33.703135+00,Julio Rodriguez,Philadelphia Phillies @ Seattle Mariners,batting_homeRuns_ou,OVER,0.5,betrivers,450,9.7826,8.1,70.38,,0,ACTIVE,pending,,,2026-08-26T01:40:00Z
2026-08-25 23:44:33.796477+00,Jose Ramirez,Cleveland Guardians @ Los Angeles Angels,batting_homeRuns_ou,OVER,0.5,betrivers,525,9.5238,8.0,69.84,,0,ACTIVE,pending,,,2026-08-26T01:38:00Z
2026-08-26 14:12:16.916567+00,Jake McCarthy,Colorado Rockies @ Washington Nationals,batting_totalBases_ou,OVER,1.5,betrivers,133,9.9057,8.9,83.14,,0,ACTIVE,win,2.0,2.66,2026-08-26T22:46:00Z
2026-08-26 14:12:17.002823+00,Spencer Horwitz,Pittsburgh Pirates @ San Diego Padres,batting_totalBases_ou,OVER,1.5,betrivers,155,9.9138,8.7,76.9,,0,ACTIVE,win,2.0,3.1,2026-08-26T20:11:00Z
2026-08-26 14:12:17.005459+00,Dillon Dingler,Tampa Bay Rays @ Detroit Tigers,batting_totalBases_ou,OVER,1.5,betrivers,148,9.2511,8.7,81.77,,0,ACTIVE,loss,2.0,-2.0,2026-08-26T17:11:00Z
2026-08-27 14:09:38.614091+00,Christian Encarnacion-Strand,Baltimore Orioles @ St. Louis Cardinals,batting_homeRuns_ou,OVER,0.5,betrivers,525,9.5238,8.0,69.84,,0,ACTIVE,loss,0.57,-0.57,2026-08-27T18:16:00Z
2026-08-27 14:09:38.704787+00,Drew Cavanaugh,Arizona Diamondbacks @ San Francisco Giants,batting_homeRuns_ou,OVER,0.5,williamhill_us,850,9.375,8.0,69.53,,0,ACTIVE,pending,,,2026-08-28T01:46:00Z
2026-08-27 14:09:38.707407+00,A.J. Ewing,Milwaukee Brewers @ New York Mets,batting_homeRuns_ou,OVER,0.5,betrivers,900,8.8235,7.8,68.38,,0,ACTIVE,loss,0.29,-0.29,2026-08-27T23:11:00Z
2026-08-27 16:50:21.509467+00,Michael Harris II,Los Angeles Dodgers @ Atlanta Braves,batting_totalBases_ou,OVER,1.5,betrivers,170,9.9801,8.8,80.17,,0,ACTIVE,loss,2.0,-2.0,2026-08-27T23:16:00Z
2026-08-28 00:12:40.314114+00,Bryce Eldridge,Arizona Diamondbacks @ San Francisco Giants,batting_totalBases_ou,OVER,1.5,betrivers,155,6.4723,7.9,72.86,,0,ACTIVE,pending,,,2026-08-28T01:46:00Z
2026-08-28 15:37:31.606445+00,George Springer,Seattle Mariners @ Toronto Blue Jays,batting_totalBases_ou,OVER,1.5,betrivers,170,9.5941,8.8,85.61,1,1,ACTIVE,win,2.0,3.4,2026-08-28T23:16:00Z
2026-08-28 15:37:31.703405+00,Jackson Merrill,San Diego Padres @ Tampa Bay Rays,batting_totalBases_ou,OVER,1.5,betrivers,175,8.992,8.6,81.23,1,1,ACTIVE,win,1.8,3.15,2026-08-28T23:11:00Z
2026-08-28 15:37:31.70589+00,Heriberto Hernandez,Miami Marlins @ Washington Nationals,batting_homeRuns_ou,OVER,0.5,betrivers,360,8.9744,7.9,68.7,,0,ACTIVE,pending,,,2026-08-28T22:46:00Z
2026-08-28 19:59:07.598155+00,Steven Kwan,Kansas City Royals @ Cleveland Guardians,batting_totalBases_ou,OVER,1.5,betrivers,180,9.6853,8.8,79.55,1,1,ACTIVE,loss,1.95,-1.95,2026-08-28T23:11:00Z
2026-08-29 01:19:46.506734+00,Christian Encarnacion-Strand,Baltimore Orioles @ Athletics,batting_homeRuns_ou,OVER,0.5,betrivers,300,7.971,7.6,66.61,,0,ACTIVE,pending,,,2026-08-29T01:41:00Z
